time	rating	text	media
Tue Feb 07 17:00:28 +0000 2017	 13	This is Dexter. He was reunited with his mom yesterday after she was stuck in Iran during the travel Bannon. 13/10… https://t.co/GBAOEZbHhN	
Mon Feb 06 17:02:17 +0000 2017	 14	Occasionally, we're sent fantastic stories. This is one of them. 14/10 for Grace https://t.co/bZ4axuH6OK	http://pbs.twimg.com/media/C3_0yhCWEAETXj2.jpg
Mon Feb 06 01:07:28 +0000 2017	 12	This is Mutt Ryan. He's quite confident at the moment. 12/10 rise pup! https://t.co/ZH5CvRlCxt	http://pbs.twimg.com/media/C38aQYgXAAMY2Wh.jpg
Mon Feb 06 01:03:14 +0000 2017	 12	This is Bear. He went outside to play in the snow. Needed a break from the game. Feeling a tad better now. 12/10  d… https://t.co/Mt5tdEUlgy	
Sun Feb 05 23:15:47 +0000 2017	 14	Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head appr… https://t.co/sPHZB0Hwf0	
Sun Feb 05 22:55:23 +0000 2017	 13	This is Beebop. Her name means "Good Dog" in robot. She also was a star on the field today. 13/10 would pet well https://t.co/HKBVZqXFNR	http://pbs.twimg.com/media/C378BwxWMAA6CNK.jpg
Sun Feb 05 21:56:51 +0000 2017	 12	Beebop and Doobert should start a band 12/10 would listen	
Sat Feb 04 22:45:42 +0000 2017	 11	Say hello to Brutus and Jersey. They think they're the same size. Best furiends furever. Both 11/10 would pet simul… https://t.co/RdsPvrhDUl	
Sat Feb 04 17:34:40 +0000 2017	 12	This is Kona. Yesterday she stopped by the department to see what it takes to be a police pupper. 12/10 vest was on… https://t.co/8xoij73L2L	
Fri Feb 03 23:04:02 +0000 2017	 12	This is Boots. She doesn't know what to do with treats so she just holds them. Very good girl. 12/10 would give mor… https://t.co/0UTrm0dQfI	
Fri Feb 03 01:16:53 +0000 2017	 12	This is Ralphie. He's being treated for an overactive funny bone, which is no joke. 12/10 would try to pet with a s… https://t.co/oIRnxBH7mJ	
Thu Feb 02 17:00:17 +0000 2017	 13	This is Charlie. He wins every game of chess he plays. Won't let opponent pet him until they forfeit. 13/10 you win… https://t.co/zV7A8OnKPV	
Thu Feb 02 01:01:21 +0000 2017	 12	This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. 12/10 https://t.co/QV5nx6otZR	http://pbs.twimg.com/media/C3nygbBWQAAjwcW.jpg
Wed Feb 01 01:11:25 +0000 2017	 007	I was going to do 007/10, but the joke wasn't worth the &lt;10 rating	
Wed Feb 01 01:09:42 +0000 2017	 13	This is Pawnd... James Pawnd. He's suave af. 13/10 would trust with my life https://t.co/YprN62Z74I	http://pbs.twimg.com/media/C3iq0EEXUAAdBYC.jpg
Tue Jan 31 01:27:39 +0000 2017	 11	We only rate dogs. Please don't send in any more non-dogs like this Wild Albanian Street Moose. Thank you... 11/10 https://t.co/srXL2s868C	http://pbs.twimg.com/media/C3dlVMbXAAUd-Gh.jpg
Mon Jan 30 23:05:46 +0000 2017	 13	Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. 13/10 https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX	http://pbs.twimg.com/media/C3dEzahWAAA3QFj.jpg
Mon Jan 30 17:10:04 +0000 2017	 13	This is Ike. He's demonstrating the pupmost restraint. 13/10 super good boy https://t.co/6gHoGah9nm	http://pbs.twimg.com/media/C3bzVILWcAUjS5i.jpg
Mon Jan 30 01:21:19 +0000 2017	 11	This is Mo. No one will push him around in the grocery cart. He's quite pupset about it. 11/10 I volunteer https://t.co/feNwTq12S5	http://pbs.twimg.com/media/C3YaSnQWAAILgz0.jpg
Sun Jan 29 22:15:05 +0000 2017	 12	This is Toby. He just found out you only pretend to throw the ball sometimes. H*ckin puppalled. 12/10 would console https://t.co/YimNdkZrhM	http://pbs.twimg.com/media/C3XvqIOXUAQEP25.jpg
Sun Jan 29 02:44:34 +0000 2017	 14	Here's a very loving and accepting puppo. Appears to have read her Constitution well. 14/10 would pat head approvin… https://t.co/804eeysJkI	
Sat Jan 28 01:04:51 +0000 2017	 13	This is Sweet Pea. She hides in shoe boxes and waits for someone to pick her. Then she surpuprises them. 13/10 https://t.co/AyBEmx56MD	http://pbs.twimg.com/media/C3ODWpfXAAAP1fb.jpg
Fri Jan 27 17:04:02 +0000 2017	 12	Say hello to Pablo. He's one gorgeous puppo. A true 12/10. Click the link to see why Pablo requests your assistance… https://t.co/HGMMHsgGXm	
Fri Jan 27 00:24:48 +0000 2017	 12	This is Scooter. His lack of opposable thumbs is rendering his resistance to tickling embarrassingly moot. 12/10 wo… https://t.co/OEJq2JR8Ix	
Thu Jan 26 17:02:56 +0000 2017	 13	This is Wilson. Named after the volleyball. He tongue wrestled a bee and lost. 13/10 valiant effort tho https://t.co/A5Mx4h1FSM	http://pbs.twimg.com/media/C3HLd0HXUAAUI2b.jpg
Wed Jan 25 18:38:36 +0000 2017	 13	Retweet the h*ck out of this 13/10 pupper #BellLetsTalk https://t.co/wBmc7OaGvS	http://pbs.twimg.com/media/C3CXxaoWQAAiLuC.jpg
Wed Jan 25 16:45:05 +0000 2017	 11	This is Nala. She got in trouble. One h*ck of a pupnishment. Still 11/10 would pet https://t.co/EmJbG0skLt	http://pbs.twimg.com/media/C3B9yooXUAUZYds.jpg
Tue Jan 24 22:44:42 +0000 2017	 14	"I wish we were dogs" 14/10 for @BadlandsNPS https://t.co/50qq2DItPW	
Tue Jan 24 17:04:50 +0000 2017	 12	This is Cash. He's officially given pup on today. 12/10 frighteningly relatable https://t.co/m0hrATIEyw	http://pbs.twimg.com/media/C284uD8WgAEmMVn.jpg
Mon Jan 23 17:20:14 +0000 2017	 11	This is Crawford. He's quite h*ckin good at the selfies. Nose is incredibly boopable. 11/10 would snapchat https://t.co/6F5Rrp472U	http://pbs.twimg.com/media/C23ypm6VQAAO31l.jpg
Mon Jan 23 00:56:15 +0000 2017	 13	@HistoryInPics 13/10	
Mon Jan 23 00:13:17 +0000 2017	 11	This is Wyatt. He's got the fastest paws in the West. H*ckin deadly. 11/10 would ride into the sunset with https://t.co/stkJ377KK7	http://pbs.twimg.com/media/C20HmaLXUAEshG4.jpg
Sun Jan 22 01:12:59 +0000 2017	 12	This is Albus. He's soaked as h*ck. Seems to have misplaced an ear as well. Still in good spirits tho. 12/10 would… https://t.co/NXORbtoMpr	
Sat Jan 21 18:26:02 +0000 2017	 13	Here's a super supportive puppo participating in the Toronto  #WomensMarch today. 13/10 https://t.co/nTz3FtorBc	http://pbs.twimg.com/media/C2tugXLXgAArJO4.jpg
Fri Jan 20 17:00:46 +0000 2017	 13	This is Paisley. She really wanted to be president this time. Dreams officially crushed. 13/10 https://t.co/liJGwMp17E	http://pbs.twimg.com/media/C2oRbOuWEAAbVSl.jpg
Fri Jan 20 00:50:15 +0000 2017	 11	We only rate dogs. Please don't send pics of men capturing low level clouds. Thank you... 11/10 https://t.co/rLi83ZyCL5	http://pbs.twimg.com/media/C2kzTGxWEAEOpPL.jpg
Thu Jan 19 01:04:45 +0000 2017	 13	This is Jimison. He was just called a good boy. 13/10 https://t.co/djMep7mGkV	http://pbs.twimg.com/media/C2ftAxnWIAEUdAR.jpg
Wed Jan 18 17:07:18 +0000 2017	 13	This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af https://t.co/maDNMETA52	http://pbs.twimg.com/media/C2d_vnHWEAE9phX.jpg
Wed Jan 18 01:01:34 +0000 2017	 13	This is Harlso. He has a really good idea but isn't sure you're going to like it. 13/10 he'll just keep it to himse… https://t.co/REgCuirOhe	
Tue Jan 17 17:21:47 +0000 2017	 14	This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) https://t.co/Xn5AQtiqzG	http://pbs.twimg.com/ext_tw_video_thumb/821407155391725568/pu/img/AJC07gFJDDBuwNTD.jpg
Tue Jan 17 00:33:26 +0000 2017	 13	@imgur for a polar bear tho I'd say 13/10 is appropriate	
Tue Jan 17 00:18:04 +0000 2017	 12	This is Luca. He got caught howling. H*ckin embarrassed. 12/10 https://t.co/r8DxA8DYJ2	http://pbs.twimg.com/ext_tw_video_thumb/821149477142556673/pu/img/88_DV098c60pC5AA.jpg
Mon Jan 16 17:20:45 +0000 2017	 12	This is Flash. He went way too hard celebrating Martin Luther King Day last night. 12/10 now he's having a dream in… https://t.co/8whqFhaex4	
Sun Jan 15 21:49:15 +0000 2017	 13	Meet Sunny. He can take down a polar bear in one fell swoop. Fr*cken deadly af. 13/10 would pet with caution https://t.co/EMq8Ud6Ze1	http://pbs.twimg.com/media/C2PjgjRXgAUgKyC.jpg
Sat Jan 14 17:00:24 +0000 2017	 14	We are proud to support @LoveYourMelon on their mission to put a hat on every kid battling cancer. They are 14/10… https://t.co/mtNwAQQEQ4	
Sat Jan 14 01:22:35 +0000 2017	 12	I've never wanted to go to a camp more in my entire life. 12/10 for all on board https://t.co/wJZlpGFEbD	http://pbs.twimg.com/media/C2GBJAAXAAQP287.jpg
Fri Jan 13 17:00:21 +0000 2017	 13	This is Oliver. He has dreams of being a service puppo so he can help his owner. 13/10 selfless afmake it happen:… https://t.co/3UFtdZEa0l	
Fri Jan 13 15:08:56 +0000 2017	 11	Here we have a doggo who has messed up. He was hoping you wouldn't notice. 11/10 someone help him https://t.co/XdRNXNYD4E	http://pbs.twimg.com/ext_tw_video_thumb/819924138965999617/pu/img/6OIToyT9eLESHXLU.jpg
Fri Jan 13 01:03:12 +0000 2017	 11	This is Howie. He just bloomed. 11/10 revolutionary af https://t.co/m5fYxrO3IU	http://pbs.twimg.com/media/C2AzHjPXEAEZ3D1.jpg
Thu Jan 12 16:54:26 +0000 2017	 13	This is Jazzy. She just found out that sandwich wasn't for her. Shocked and puppalled. 13/10 deep breaths Jazzy https://t.co/52cItP0vIO	http://pbs.twimg.com/media/C1_DQn3UoAIoJy7.jpg
Thu Jan 12 00:55:47 +0000 2017	 12	Say hello to Anna and Elsa. They fall asleep in similar positions. It's pretty wild. Both 12/10 would snug simultan… https://t.co/YGAv4jBs5A	
Wed Jan 11 17:42:57 +0000 2017	 10	Some happy pupper news to share. 10/10 for everyone involved https://t.co/MefMAZX2uv	
Wed Jan 11 17:01:16 +0000 2017	 12	This is Finn. He's wondering if you come here often. Fr*ckin flirtatious af. 12/10 would give number to https://t.co/ii5eNX5LJT	http://pbs.twimg.com/media/C157Oq3WQAEOyHm.jpg
Wed Jan 11 02:21:57 +0000 2017	 14	This is Sunny. She was also a very good First Doggo. 14/10 would also be an absolute honor to pet https://t.co/YOC1fHFCSb	http://pbs.twimg.com/media/C12x-IXVQAA08TD.jpg
Wed Jan 11 02:15:36 +0000 2017	 14	This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1	http://pbs.twimg.com/media/C12whDoVEAALRxa.jpg
Tue Jan 10 01:15:10 +0000 2017	 13	Meet Wafer. He represents every fiber of my being. 13/10 very good dog https://t.co/I7bkhxBxUG	http://pbs.twimg.com/media/C1xZGkzWIAA8vh4.jpg
Tue Jan 10 00:24:38 +0000 2017	 12	This is Bear. He's a passionate believer of the outdoors. Leaves excite him. 12/10 would hug softly https://t.co/FOF0hBDxP8	http://pbs.twimg.com/media/C1xNgfBUQAAU1DW.jpg
Mon Jan 09 00:53:55 +0000 2017	 12	This is Florence. He saw the same snap you sent him on your story. Pretty pupset with you. 12/10 https://t.co/rnkvT2kvib	http://pbs.twimg.com/media/C1sKo_QUkAALtkw.jpg
Sun Jan 08 17:20:31 +0000 2017	 11	This is Autumn. Her favorite toy is a cheeseburger. She takes it everywhere. 11/10 https://t.co/JlPug12E5Z	http://pbs.twimg.com/media/C1qi26rW8AMaj9K.jpg
Sun Jan 08 01:40:55 +0000 2017	 12	Looks like he went cross-eyed trying way too hard to use the force. 12/10 https://t.co/bbuKxk0fM8	
Sun Jan 08 01:40:55 +0000 2017	 12	Looks like he went cross-eyed trying way too hard to use the force. 12/10 https://t.co/bbuKxk0fM8	
Sat Jan 07 20:18:46 +0000 2017	 13	This is Buddy. He ran into a glass door once. Now he's h*ckin skeptical. 13/10 empowering af (vid by Brittany Gaunt) https://t.co/q2BgNIi3OA	http://pbs.twimg.com/ext_tw_video_thumb/817827663108771841/pu/img/e9oi839RGWJR37jF.jpg
Fri Jan 06 17:33:29 +0000 2017	 13	This is Ken. His cheeks are magic. 13/10 (IG: ken_shiba) https://t.co/btzf1zTDeQ	http://pbs.twimg.com/ext_tw_video_thumb/817423809049493505/pu/img/5OFW0yueFu9oTUiQ.jpg
Fri Jan 06 17:00:38 +0000 2017	 11	Meet Strudel. He's rather h*ckin pupset that your clothes clash. 11/10 click the link to see how u can help Strudel… https://t.co/dEyZso9D3z	
Fri Jan 06 00:49:53 +0000 2017	 13	This is Tebow. He kindly requests that you put down the coffee and play with him. 13/10 such a good boy https://t.co/56uBP28eqw	http://pbs.twimg.com/media/C1cs8uAWgAEwbXc.jpg
Thu Jan 05 21:29:55 +0000 2017	 13	Name a more iconic quartet... I'll wait. 13/10 for all https://t.co/kCLgD8687T	http://pbs.twimg.com/media/C1b_LSYUsAAJ494.jpg
Thu Jan 05 17:13:55 +0000 2017	 11	This is Chloe. She fell asleep at the wheel. Absolute menace on the roadways. Sneaky tongue slip tho. 11/10 https://t.co/r6SLVN2VUH	http://pbs.twimg.com/media/C1bEl4zVIAASj7_.jpg
Thu Jan 05 01:20:46 +0000 2017	 12	This is Timber. He misses Christmas. Specifically the presents part. 12/10 cheer pup Timber https://t.co/dVVavqpeF9	http://pbs.twimg.com/media/C1XqbhXXUAElpfI.jpg
Wed Jan 04 17:27:59 +0000 2017	 12	This is Binky. She appears to be rather h*ckin cozy. Nifty leg cross as well. 12/10 would snug well https://t.co/WFt82XLyEF	http://pbs.twimg.com/media/C1V-K63UAAEUHqw.jpg
Wed Jan 04 01:05:59 +0000 2017	 13	Meet Moose. He doesn't want his friend to go back to college. 13/10 looks like you're staying home John https://t.co/LIhmM7i70k	http://pbs.twimg.com/media/C1SddosXUAQcVR1.jpg
Tue Jan 03 17:33:39 +0000 2017	 11	This is Dudley. He found a flower and now he's a queen. 11/10 would be an honor to pet https://t.co/nuJxtmlLcY	http://pbs.twimg.com/media/C1Q17WdWEAAjKFO.jpg
Tue Jan 03 01:20:49 +0000 2017	 12	This is Comet. He's a Wild Estonian Poofer. Surprised they caught him. 12/10 would pet well https://t.co/tlfuZ25IMi	http://pbs.twimg.com/media/C1NXQw8WIAAXQaK.jpg
Mon Jan 02 18:38:42 +0000 2017	 11	Meet Jack. He's one of the rare doggos that doesn't mind baths. 11/10 click the link to see how you can help Jack!… https://t.co/bcVPkqufuu	
Mon Jan 02 17:00:46 +0000 2017	 13	Here's a pupper with squeaky hiccups. Please enjoy. 13/10 https://t.co/MiMKtsLN6k	http://pbs.twimg.com/ext_tw_video_thumb/815965888126062592/pu/img/JleSw4wRhgKDWQj5.jpg
Mon Jan 02 01:48:06 +0000 2017	 11	This is Akumi. It's his birthday. He received many lickable gifts. 11/10 happy h*ckin birthday https://t.co/gd9UlLOCQ0	http://pbs.twimg.com/media/C1IT6otWIAAGtpe.jpg
Sun Jan 01 19:22:38 +0000 2017	 12	This is Titan. His nose is quite chilly. Requests to return to the indoors. 12/10 would boop to warm https://t.co/bLZuOh9sKy	http://pbs.twimg.com/media/C1G7sXyWIAA10eH.jpg
Sun Jan 01 02:53:20 +0000 2017	 13	Happy New Year from the squad! 13/10 for all https://t.co/9njRxyUd5L	http://pbs.twimg.com/media/C1DZQiTXgAUqgRI.jpg
Sat Dec 31 00:08:17 +0000 2016	 11	This is Cooper. Someone attacked him with a sharpie. Poor pupper. 11/10 nifty tongue slip tho https://t.co/01vpuRDXQ8	http://pbs.twimg.com/media/C09p5dJWIAE5qKL.jpg
Fri Dec 30 01:05:33 +0000 2016	 12	This is Olivia. She's a passionate advocate of candid selfies. 12/10 would boop shnoop https://t.co/0LdNjoiNbv	http://pbs.twimg.com/media/C04taUkW8AAgYS5.jpg
Thu Dec 29 17:54:58 +0000 2016	 12	This is Alf. Someone just rubbed a balloon on his head. He's only a little pupset about it. 12/10 would pet well https://t.co/IOdgfnSE9G	http://pbs.twimg.com/media/C03K2-VWIAAK1iV.jpg
Wed Dec 28 16:56:16 +0000 2016	 12	This is Oshie. He's ready to party. Bought that case himself. 12/10 someone tell Oshie it's Wednesday morning https://t.co/YIJo7X7K9J	http://pbs.twimg.com/media/C0xz04SVIAAeyDb.jpg
Wed Dec 28 00:52:25 +0000 2016	 11	This is Chubbs. He dug a hole and now he's stuck in it. Dang h*ckin doggo. 11/10 would assist https://t.co/z1VRj1cYZf	http://pbs.twimg.com/media/C0uXObSXUAAIzmV.jpg
Tue Dec 27 17:36:16 +0000 2016	 12	This is Sky. She's learning how to roll her R's. 12/10 cultured af https://t.co/OuaVvVkwJ1	http://pbs.twimg.com/media/C0szZh_XUAAm9je.jpg
Mon Dec 26 03:00:30 +0000 2016	 13	Here is Atlas. He went all out this year. 13/10 downright magical af https://t.co/DVYIZOnO81	http://pbs.twimg.com/media/C0khWkVXEAI389B.jpg
Mon Dec 26 02:00:11 +0000 2016	 11	Here's a doggo who has concluded that Christmas is entirely too bright. Requests you tone it down a notch. 11/10 https://t.co/cD967DjnIn	http://pbs.twimg.com/media/C0kTjqIXgAAqpRi.jpg
Mon Dec 26 01:00:05 +0000 2016	 13	We only rate dogs. Please don't send in other things like this very good Christmas tree. Thank you... 13/10 https://t.co/rvSANEsQZJ	http://pbs.twimg.com/media/C0kFzOQUoAAt6yb.jpg
Mon Dec 26 00:00:03 +0000 2016	 12	This is Eleanor. She winks like she knows many things that you don't. 12/10 https://t.co/bxGwkJa2kE	http://pbs.twimg.com/media/C0j4EESUsAABtMq.jpg
Sun Dec 25 23:00:08 +0000 2016	 12	This is Layla. It is her first Christmas. She got to be one of the presents. 12/10 I wish my presents would bark https://t.co/hwhCbhCjnV	http://pbs.twimg.com/media/C0jqVVdWIAAZbYV.jpg
Sun Dec 25 22:00:04 +0000 2016	 13	Everybody stop what you're doing and look at this dog with her tiny Santa hat. 13/10 https://t.co/KK4XQK9SPi	http://pbs.twimg.com/media/C0jcmOMUAAAuitE.jpg
Sun Dec 25 21:12:41 +0000 2016	 12	I've been informed by multiple sources that this is actually a dog elf who's tired from helping Santa all night. Pupgraded to 12/10	
Sun Dec 25 21:00:18 +0000 2016	 11	Here's an anonymous doggo that appears to be very done with Christmas. 11/10 cheer up pup https://t.co/BzITyGw3JA	http://pbs.twimg.com/media/C0jO6aBWEAAM28r.jpg
Sun Dec 25 20:00:07 +0000 2016	 12	Meet Toby. He's pupset because his hat isn't big enough. Christmas is ruined. 12/10 it'll be ok Toby https://t.co/zfdaGZlweq	http://pbs.twimg.com/media/C0jBJZVWQAA2_-X.jpg
Sun Dec 25 19:00:02 +0000 2016	 11	This is Rocky. He got triple-doggo-dared. Stuck af. 11/10 someone help him https://t.co/soNL00XWVu	http://pbs.twimg.com/media/C0izZULWgAAKD-F.jpg
Sun Dec 25 18:00:17 +0000 2016	 11	This is Baron. He's officially festive as h*ck. Thinks it's just a fancy scarf. 11/10 would pat head approvingly https://t.co/PjulYEXTvg	http://pbs.twimg.com/media/C0ilsa0WEAADQEG.jpg
Sun Dec 25 17:00:08 +0000 2016	 12	This is Tyr. He is disgusted by holiday traffic. Just trying to get to Christmas brunch on time. 12/10 hurry up pup https://t.co/syuTXARdtN	http://pbs.twimg.com/media/C0iX8OOVEAEIpMC.jpg
Sun Dec 25 16:00:16 +0000 2016	 13	This is Bauer. He had nothing to do with the cookies that disappeared. 13/10 very good boy https://t.co/AIMF8ouzvl	http://pbs.twimg.com/media/C0iKPZIXUAAbDYV.jpg
Sat Dec 24 22:04:54 +0000 2016	 10	This is Swagger. He's the Cleveland Browns ambassador. Hype as h*ck after that first win today. 10/10 https://t.co/lXFM1l22bG	http://pbs.twimg.com/media/C0eUHfWUAAANEYr.jpg
Sat Dec 24 17:18:34 +0000 2016	 12	This is Brandi and Harley. They are practicing their caroling for later. Both 12/10 festive af https://t.co/AbBDuGZUpp	http://pbs.twimg.com/media/C0dSk98WEAALyya.jpg
Sat Dec 24 03:40:19 +0000 2016	 13	I'm happy to inform you all that Jake is in excellent hands. 13/10 for him and his new family… https://t.co/MCFrxiC7NZ	
Sat Dec 24 01:16:12 +0000 2016	 12	This is Mary. She's desperately trying to recreate her Coachella experience.   12/10 downright h*ckin adorable https://t.co/BAJrfPvtux	http://pbs.twimg.com/media/C0Z2T_GWgAAxbL9.jpg
Fri Dec 23 19:00:19 +0000 2016	 13	This is Moe. He's a fetty woof. Got a cardboard cutout of himself for Christmas. 13/10 inspirational af https://t.co/gCnAeL2mvT	http://pbs.twimg.com/media/C0YgO20WgAAPhsf.jpg
Thu Dec 22 17:23:53 +0000 2016	 11	Say hello to Ted. He accidentally opened the front facing camera. 11/10 h*ckin unpupared https://t.co/sIB5C6FDop	http://pbs.twimg.com/media/C0TAnZIUAAAADKs.jpg
Thu Dec 22 01:24:33 +0000 2016	 13	This is Halo. She likes watermelon. 13/10 https://t.co/TZkiQZqwA6	http://pbs.twimg.com/media/C0PlCQjXAAA9TIh.jpg
Wed Dec 21 19:01:02 +0000 2016	 11	PUPDATE: I've been informed that Augie was actually bringing his family these flowers when he tripped. Very good boy. Pupgraded to 11/10	
Wed Dec 21 17:39:46 +0000 2016	 10	This is Augie. He's a savage. Doesn't give a h*ck about your garden. Still 10/10 would forgive then pet https://t.co/IU8S0n4oxn	http://pbs.twimg.com/media/C0N6opSXAAAkCtN.jpg
Wed Dec 21 01:44:13 +0000 2016	 11	This is Craig. That's actually a normal sized fence he's stuck on. H*ckin massive pupper. 11/10 someone help him https://t.co/aAUXzoxaBy	http://pbs.twimg.com/media/C0Kf9PtWQAEW4sE.jpg
Mon Dec 19 17:14:23 +0000 2016	 11	This is Hunter. He just found out he needs braces. Requesting an orthodogtist stat. 11/10 you're fine Hunter, every… https://t.co/PqJcGVZBx9	
Mon Dec 19 01:26:42 +0000 2016	 11	This is Pavlov. His floatation device has failed him. He's quite pupset about it. 11/10 would rescue https://t.co/MXd0AGDsRJ	http://pbs.twimg.com/media/C0AIwgVXAAAc1Ig.jpg
Sun Dec 18 00:43:57 +0000 2016	 13	This is Phil. He's a father. A very good father too. 13/10 everybody loves Phil https://t.co/9p6ECXJMMu	http://pbs.twimg.com/media/Cz61ZD4W8AAcJEU.jpg
Sat Dec 17 22:43:27 +0000 2016	 12	This is Gus. He likes to be close to you, which is good because you want to be close to Gus. 12/10 would boop then… https://t.co/ElJPHbfSMy	
Sat Dec 17 00:38:52 +0000 2016	 10	Please only send in dogs. We only rate dogs, not seemingly heartbroken ewoks. Thank you... still 10/10 would console https://t.co/HIraYS1Bzo	http://pbs.twimg.com/media/Cz1qo05XUAQ4qXp.jpg
Thu Dec 15 17:23:04 +0000 2016	 12	I call this one "A Blep by the Sea" 12/10 https://t.co/EMdnCugNbo	http://pbs.twimg.com/media/Czu9RiwVEAA_Okk.jpg
Thu Dec 15 02:14:29 +0000 2016	 12	This is Kyro. He's a Stratocumulus Flop. Tongue ejects at random. Serious h*ckin condition. Still 12/10 would pet p… https://t.co/2JjYys5zMP	
Wed Dec 14 17:16:53 +0000 2016	 11	This is Wallace. You said you brushed your teeth but he checked your toothbrush and it was bone dry. 11/10 not pups… https://t.co/ySn6zB6mwQ	
Wed Dec 14 00:57:20 +0000 2016	 13	This is Ito. He'll be your uber driver tonight. Currently adjusting the mirrors. 13/10 incredibly h*ckin responsible https://t.co/Zrrcw29o13	http://pbs.twimg.com/media/CzmSFlKUAAAQOjP.jpg
Tue Dec 13 18:01:07 +0000 2016	 12	Here's a pupper in a onesie. Quite pupset about it. Currently plotting revenge. 12/10 would rescue https://t.co/xQfrbNK3HD	http://pbs.twimg.com/media/Czky0v9VIAEXRkd.jpg
Tue Dec 13 02:39:32 +0000 2016	 12	This is Koda. He dug a hole and then sat in it because why not. Unamused by the bath that followed. 12/10 https://t.co/SQhyqrr8px	http://pbs.twimg.com/media/Czhf4XtUsAADGoY.jpg
Mon Dec 12 16:16:49 +0000 2016	 11	This is Seamus. He's very bad at entering pools. Still a very good boy tho 11/10 https://t.co/hfi264QwYM	
Mon Dec 12 00:29:28 +0000 2016	 12	Here we have Burke (pupper) and Dexter (doggo). Pupper wants to be exactly like doggo. Both 12/10 would pet at same… https://t.co/7nJXFt8Ggy	
Sun Dec 11 17:31:39 +0000 2016	 12	This is Cooper. He likes to stick his tongue out at you and then laugh about it. 12/10 quite the jokester https://t.co/O9iGgvfuzl	http://pbs.twimg.com/media/CzaY5UdUoAAC91S.jpg
Sat Dec 10 16:22:02 +0000 2016	 14	This is Ollie Vue. He was a 3 legged pupper on a mission to overcome everything. This is very hard to write. 14/10… https://t.co/gJQnfSziJE	
